,categories name,brand name,product name,pro description,price,brand,color,size,img url 1,img url 2
https://www2.hm.com/en_us/productpage.1274460001.html,shirt,H&M,Shimmery Twist-Detail Top,"Short, fitted top in stretch jersey with a foil print for a shimmery, glittery effect. Stand-up collar with a twisted detail at front for a gently draped effect. Long sleeves and a straight-cut hem.","445,000",H&M,Black/glittery,"S,M,L",https://image.hm.com/assets/hm/91/a4/91a47a302d6980930be3f14f7c414a8b5040dc59.jpg?imwidth=1260,https://image.hm.com/assets/hm/8c/4e/8c4ed3d4d209eba47fd84e42307843985be558da.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274459001.html,pants,H&M,Smocked Flared Pants,"Fitted pants in smocked jersey. High waist, elasticized waistband, and flared, overlocked hems.","445,000",H&M,Black/silver-colored,"S,M,L",https://image.hm.com/assets/hm/5c/d6/5cd6e6779b97d443be631acad8754f58ef7c4505.jpg?imwidth=1260,https://image.hm.com/assets/hm/c7/e6/c7e6d435dc278748bdd73e0ee54486cc926156d4.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274458001.html,shirt,H&M,Smocked One-Shoulder Top,"Fitted, one-shoulder top in smocked jersey. Asymmetric neckline, short sleeves, and an overlocked hem.","400,000",H&M,Black/silver-colored,"S,M,L",https://image.hm.com/assets/hm/a4/7d/a47dff9fe952279ba164d814accaeaa9fe0a3b21.jpg?imwidth=1260,https://image.hm.com/assets/hm/9b/45/9b45619e7a318766bcf939bc772eebfdfafb3f92.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274457002.html,jumpsuit,H&M,Ribbed Bandeau Jumpsuit,Loose-fit bandeau jumpsuit with narrow elastic at upper edge and at waist. Wide legs.,"550,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/2b/32/2b322db700406de9f5991ae23e2745cf9fd00d8f.jpg?imwidth=1260,https://image.hm.com/assets/hm/ef/c5/efc58b20145febcf2b10a43946da483c452c54dd.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274457001.html,jumpsuit,H&M,Ribbed Bandeau Jumpsuit,Loose-fit bandeau jumpsuit with narrow elastic at upper edge and at waist. Wide legs.,"520,000",H&M,Black/glittery,"S,M,L",https://image.hm.com/assets/hm/5e/2d/5e2de9a5b7ac6fc5f4a46c4c39836d8456dca6a5.jpg?imwidth=1260,https://image.hm.com/assets/hm/4a/b2/4ab2f997d11c2981bc04252ed0b8b4ade75c4d65.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274456001.html,shirt,H&M,Ribbed Chain-Detail Sleeveless Top,"Fitted, sleeveless top in ribbed jersey. Round, low-cut neckline with a decorative chain detail at front edge.","445,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/5e/9d/5e9dbe4ca710a264488b1d79f6c5c2f271082150.jpg?imwidth=1260,https://image.hm.com/assets/hm/70/9e/709e9cb13cd8d383dcc04ad98ae3e145ab404c99.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274447001.html,pants,H&M,Flared Crushed Velour Pants,Fitted pants in crushed velour. Concealed elasticized waistband and flared hems.,"445,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/cb/4f/cb4f34b701bc1a563f97d406cb8272e2f734dcfb.jpg?imwidth=1260,https://image.hm.com/assets/hm/16/ec/16ec2fd0c6afd3d8fbc017ab7b9b6c4a5fcb849b.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274446001.html,shirt,H&M,Crushed Velour Sleeveless Top,"Fitted, sleeveless top in crushed velour. Mock turtleneck and overlocked edges at armholes and hem.","400,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/06/be/06be239b41c6117dd2856e3f16b659b00214403e.jpg?imwidth=1260,https://image.hm.com/assets/hm/00/5b/005bfe10705fa967b71aad9efed6d7d0ef39bb5a.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274441002.html,shirt,H&M,Textured Off-the-Shoulder Top,"Fitted, off-the-shoulder top in textured jersey. Foldover upper edge, long sleeves, and overlocked edges at cuffs and hem.","160,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/67/b6/67b6f23833ac398068680a0737d4e808c4a18591.jpg?imwidth=1260,https://image.hm.com/assets/hm/f7/73/f77312d685f555abe7249aad4b9df538055acc89.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274440002.html,pants,H&M,Flared Textured Pants,"Fitted pants in textured jersey. High waist, elasticized waistband, and flared hems.","235,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/f4/aa/f4aaf86f9dfbee40b49b6c34d41fc7429e8f0d27.jpg?imwidth=1260,https://image.hm.com/assets/hm/59/ca/59ca17d76422a2b6912bd790ab48b09cc57253d5.jpg?imwidth=1260
